symbol,initial_capital,final_capital,total_return_pct,annual_return_pct,total_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_ratio,calmar_ratio
RB,10000,6937.144500000006,-30.628554999999995,-5.91681884084082,38,50.0,0.6074482612777437,-45.101811780532216,-0.42839692582926087,-0.13118805225901725
MA,10000,12100.759,21.00759,3.231337780524246,172,53.48837209302325,0.9266064152413351,-53.33596868914705,0.26305382201869076,0.06058458972325307
FG,10000,8291.257000000001,-17.087429999999994,-3.076868003863642,57,43.859649122807014,1.1149135285113474,-58.28043693357572,0.08301130255579144,-0.05279418216048136
SA,10000,3076.7419999999984,-69.23258,-17.847003350164982,40,45.0,0.5808139205336245,-73.10402673563291,-0.7208782139725184,-0.24413160460647867
M,10000,6403.179499999996,-35.96820500000001,-7.165262912286153,90,47.77777777777778,0.8731853299620178,-51.988301909909275,-0.3230348417818728,-0.13782452299947906
CS,10000,7239.3854999999985,-27.606144999999998,-5.245262065930067,91,49.45054945054945,0.7319257568830965,-41.08680910523293,-0.39529857532624313,-0.12766292102401344
FB,10000,10526.103250000006,5.261032499999999,0.8588037660477221,161,49.06832298136646,1.1065148806344027,-15.95569023124193,0.14912467913800503,0.053824294254982925
RM,10000,5400.376999999997,-45.99623,-9.765323026904449,29,37.93103448275862,0.4767650514279655,-48.21405873851447,-0.8491311339070655,-0.20254098664180062
V,10000,6409.014000000008,-35.90986000000001,-7.1511602928234,121,49.586776859504134,0.881431679410233,-61.85559331290699,-0.04969322248349754,-0.11561056825771673
TA,10000,18805.943000000007,88.05942999999999,11.108469371689388,167,55.08982035928144,1.146002206264103,-30.519447542998783,0.6656034503058296,0.36398002801455337
L,10000,5135.477000000002,-48.64523000000001,-10.519083013743636,74,47.2972972972973,0.8271166090975423,-54.63837901369719,-0.3431174123457493,-0.19252187205456125
PP,10000,5094.148000000003,-49.05852,-10.639589791729165,48,47.91666666666667,0.6729480679192396,-54.929952794611204,-0.42932701078281504,-0.19369377271288937
EG,10000,4332.765000000002,-56.67235,-13.020002554214106,37,54.054054054054056,0.48117562083092397,-62.01827578427681,-0.4013472128242291,-0.20993815757636722
UR,10000,6476.460000000001,-35.2354,-6.988907739924544,33,51.515151515151516,0.6231079599752537,-49.93227499205861,-0.3404320752319216,-0.13996774112607693
HC,10000,6672.070000000001,-33.27929999999999,-6.52617009016433,7,28.57142857142857,0.10247992935235772,-33.27929999999999,-0.5785891339859253,-0.19610298564465992
SM,10000,4879.282499999996,-51.207175000000014,-11.279546829455755,121,47.93388429752066,0.9610566471000314,-75.9628319898497,-0.11229609265471505,-0.1484877081855367
SF,10000,4788.708500000003,-52.112915000000015,-11.556369373442287,46,43.47826086956522,0.6860237567048929,-54.46578838006292,-0.5149336357353317,-0.21217666570438318
AP,10000,8266.2885,-17.337115,-3.125608634933419,1,0.0,0.0,-17.337114999999994,-0.4167413211319473,-0.18028424192453127
